Title Description,Standard Hours,Maximum Salary Rate
STENOGRAPHIC SPECIALIST,35.0,46917.0
STENOGRAPHIC SPECIALIST,35.0,52953.0
STENOGRAPHIC SPECIALIST,35.0,62463.0
STENOGRAPHIC SPECIALIST,35.0,66544.0
LEGISLATIVE STENOGRAPHER (CITY,35.0,100000.0
LEGISLATIVE FINANCIAL STENOGRA,35.0,244820.0
SENIOR SECRETARY,35.0,53619.0
SENIOR SECRETARY,40.0,53619.0
CHIEF LAW STENOGRAPHER (DA),35.0,72478.0
SUPERVISING LEGISLATIVE STENOG,35.0,244820.0
Confidential Stenographer (FD),35.0,47061.0
STENOGRAPHER TO EACH DEPUTY CO,35.0,200000.0
LEGAL SECRETARIAL ASSISTANT,35.0,42785.0
LEGAL SECRETARIAL ASSISTANT AL,35.0,48115.0
LEGAL SECRETARIAL ASSISTANT AL,35.0,54913.0
LEGAL SECRETARIAL ASSISTANT AL,35.0,83500.0
STENOGRAPHER TO THE CORPORATIO,35.0,234738.0
SUMMER GRADUATE INTERN,35.0,24.73
SUMMER COLLEGE INTERN,35.0,17.5
*ASSISTANT COORDINATINGMANAGER,35.0,73679.0
HIGH SCHOOL STUDENT AIDE,35.0,15.0
CONFIDENTIAL SECRETARY (SPECIA,35.0,66004.0
STENOGRAPHER TO COUNCIL (CITY,35.0,244820.0
EDUCATIONAL MANAGEMENT ASSOCIA,35.0,244820.0
NEW YORK CITY PUBLIC SERVICE,35.0,51125.0
NEW YORK CITY FELLOW (DCAS),35.0,69630.0
NEW YORK CITY FELLOW (DCAS),35.0,71720.0
NEW YORK CITY FELLOW (DCAS),35.0,99944.0
ADMINISTRATIVE JOB OPPORTUNITY,35.0,99929.0
ADMINISTRATIVE JOB OPPORTUNITY,35.0,107925.0
ADMINISTRATIVE JOB OPPORTUNITY,35.0,244820.0
CLERICAL AIDE,35.0,39868.0
CLERICAL ASSOCIATE,35.0,23.65
CLERICAL ASSOCIATE,35.0,46374.0
CLERICAL ASSOCIATE,35.0,24.22
CLERICAL ASSOCIATE,35.0,47515.0
CLERICAL ASSOCIATE,35.0,29.15
CLERICAL ASSOCIATE,35.0,57236.0
CLERICAL ASSOCIATE,35.0,31.07
CLERICAL ASSOCIATE,35.0,60990.0
SECRETARY,35.0,60990.0
SECRETARY,35.0,39868.0
SECRETARY,35.0,46374.0
SECRETARY,35.0,47515.0
SECRETARY,35.0,47515.0
SECRETARY,35.0,57236.0
SECRETARY,35.0,57236.0
CALL CENTER REPRESENTATIVE,35.0,58553.0
ASSOCIATE CALL CENTER REPRESEN,35.0,72949.0
ASSOCIATE CALL CENTER REPRESEN,35.0,97716.0
COOPERATIVE EDUCATION TRAINEE,35.0,15.85
LEGISLATIVE TYPIST,35.0,244820.0
CASHIER,35.0,53619.0
CASHIER,35.0,60990.0
OFFICE MACHINE AIDE,35.0,39868.0
OFFICE MACHINE AIDE,35.0,46374.0
SUPERVISOR OF OFFICE MACHINE O,35.0,51493.0
SUPERVISOR OF OFFICE MACHINE O,35.0,58886.0
COOPERATIVE EDUCATION TRAINEE-,35.0,15.85
PROCUREMENT ANALYST,35.0,54733.0
PROCUREMENT ANALYST,35.0,68167.0
PROCUREMENT ANALYST,35.0,64212.0
PROCUREMENT ANALYST,35.0,79971.0
PROCUREMENT ANALYST,35.0,78637.0
PROCUREMENT ANALYST,35.0,97937.0
*PROCUREMENT ANALYST LEVEL III,35.0,99766.0
SENIOR SALVAGE APPRAISER,35.0,78691.0
STOCK WORKER,35.0,42517.0
STOCK WORKER,35.0,46941.0
STOCK WORKER,35.0,43010.0
STOCK WORKER,35.0,51360.0
SUPERVISOR OF STOCK WORKERS,35.0,47894.0
SUPERVISOR OF STOCK WORKERS,35.0,57192.0
SUPERVISOR OF STOCK WORKERS,35.0,62211.0
SUPERVISOR OF STOCK WORKERS,35.0,66665.0
SUPERVISOR OF STOCK WORKERS,35.0,67733.0
SUPERVISOR OF STOCK WORKERS,35.0,80883.0
HOUSING STOCK WORKER,35.0,46729.0
HOUSING STOCK WORKER,35.0,52927.0
SUPERVISOR OF HOUSING STOCK WO,35.0,59147.0
SUPERVISOR OF HOUSING STOCK WO,35.0,62180.0
SUPERVISOR OF HOUSING STOCK WO,35.0,75809.0
LEGISLATIVE ANALYST AIDE (CITY,35.0,244820.0
LEGISLATIVE ANALYST,35.0,100000.0
STAFF ANALYST,35.0,68181.0
STAFF ANALYST,35.0,74479.0
ASSOCIATE STAFF ANALYST,35.0,97873.0
EDUCATION ANALYST,35.0,39968.0
EDUCATION ANALYST,35.0,43658.0
ASSOCIATE EDUCATION ANALYST,35.0,84313.0
EDUCATION ANALYST (UNION),37.5,76208.0
ASSOCIATE EDUCATION ANALYST (U,37.5,98181.0
STAFF ANALYST (DOE - OJ),35.0,55157.0
STAFF ANALYST (DOE - OJ),35.0,60252.0
ASSOCIATE STAFF ANALYST DOE OJ,35.0,79182.0
SPECIAL ASSISTANT TO THE DISTR,35.0,113500.0
EDUCATION OFFICER,35.0,64156.0
EDUCATION OFFICER,35.0,84313.0
*ASSOCIATE EDUCATION OFFICER,35.0,93086.0
SR MANAGEMENT CONSULTANT (ACCO,35.0,244820.0
Senior Management Consultant,35.0,244820.0
EDUCATION OFFICER (UNION),37.5,76208.0
EDUCATION OFFICER (UNION),37.5,100155.0
*ASSOCIATE EDUCATION OFFICER (,37.5,111640.0
SENIOR MANAGEMENT CONSULTANT (,35.0,244820.0
SENIOR MANAGEMENT CONSULTANT (,35.0,244820.0
*ASSISTANT SYSTEMS ANALYST (FI,35.0,68015.0
*SYSTEMS ANALYST,35.0,70045.0
*SENIOR SYSTEMS ANALYST,35.0,78803.0
*SUPERVISING SYSTEMS ANALYST,35.0,69438.0
*SR SYSTEMS ANALYST - EDP(HMH),35.0,82123.0
*SR MANAGEMENT CONSULTANT HMH,35.0,124361.0
DIRECTOR EMPLOYEE MANAGEMENT D,35.0,244820.0
DIRECTOR OF TRAINING (POLICE D,35.0,244820.0
MONITOR,35.0,16.0
TESTS AND MEASUREMENT SPECIAL,35.0,74479.0
TESTS AND MEASUREMENT SPECIAL,35.0,86175.0
TESTS AND MEASUREMENT SPECIAL,35.0,97873.0
PENSION INVESTMENT ADVISOR,35.0,244820.0
STAFF ANALYST TRAINEE,35.0,47824.0
EDUCATION ANALYST TRAINEE,35.0,30000.0
PSYCHOMETRICIAN,35.0,244820.0
LABOR RELATIONS ANALYST TRAINE,35.0,58089.0
SECRETARY TO THE EXECUTIVE DIR,35.0,68207.0
SECRETARY TO COMMISSIONER (YOU,35.0,86460.0
SECRETARY TO CONFLICTS OF INTE,35.0,66769.0
CONFIDENTIAL SECRETARY OF ADMI,35.0,69338.0
EXECUTIVE SECRETARY TO VICE CH,35.0,244820.0
SECRETARY TO THE EXECUTIVE DIR,35.0,62767.0
CONFIDENTIAL SECRETARY (KINGS,35.0,53619.0
ASSISTANT EXECUTIVE SECRETARY,35.0,244820.0
CONFIDENTIAL SECRETARY TO THE,35.0,234738.0
EXECUTIVE SECRETARY,35.0,234738.0
EXEC SEC TO ADVISORY BD FOR LO,35.0,113500.0
SECRETARY (NYC COMMISSION TO T,35.0,59801.0
LAW SECRETARY,35.0,244820.0
SECRETARY TO COMMUNITY SCHOOL,35.0,46609.0
SECY TO THE DIRECTOR OF COLLEC,35.0,86472.0
SECRETARY TO THE DIRECTOR OF F,35.0,67164.0
EXECUTIVE SECRETARY TO THE DIR,35.0,81937.0
SECRETARY TO COMMISSIONER OF B,35.0,67164.0
Secretary to the Deputy Mayor,35.0,81102.0
SECRETARY,35.0,63036.0
SECRETARY OF THE AUTHORITY,35.0,137387.0
SECRETARY OF THE BOARD,35.0,113500.0
SECRETARY OF THE BOARD OF EDUC,35.0,113500.0
SECRETARY OF THE DEPARTMENT (H,35.0,244820.0
SECRETARY OF THE COMMISSION,35.0,244820.0
SECRETARY TO THE DEPARTMENT (F,35.0,244820.0
SECRETARY (MANAGERIAL),35.0,244820.0
SECRETARY OF THE TAX COMMISSIO,35.0,47277.0
SECRETARY OF COMM(7 AGENCIES),35.0,91196.0
SECRETARY TO DEPARTMENT,35.0,244820.0
SECRETARY TO ONE DEPUTY COMMIS,35.0,95000.0
SECRETARY TO THE DEPUTY COMMIS,35.0,78740.0
SECRETARY TO THE CHAIRMAN (TAX,35.0,65789.0
SECRETARY TO THE CHAIRMAN,35.0,200000.0
SECRETARY TO THE COMMISSIONER,35.0,90352.0
SECRETARY TO THE COMMISSIONER,35.0,100000.0
SECRETARY TO THE COMMISSIONER,35.0,71105.0
SECRETARY TO THE CORPORATION C,35.0,234738.0
SECRETARY TO THE DEPARTMENT,35.0,244820.0
SECRETARY TO THE PRESIDENT,35.0,83650.0
SECRETARY TO THE DEPUTY BORO P,35.0,47849.0
SECRETARY TO VICE CHAIRMAN,35.0,244820.0
SECRETARY TO THE DIRECTOR OF M,35.0,86472.0
ASSISTANT SECRETARY TO THE COM,35.0,99000.0
SECRETARY TO MINORITY LEADER,35.0,244820.0
SECRETARY TO THE BOARD OF CORR,35.0,53819.0
SECRETARY TO THE FIRE COMMISSI,35.0,90352.0
SECRETARY TO PRESIDENT OF THE,35.0,103000.0
SECRETARY TO THE COMPTROLLER,35.0,59715.0
SECRETARY TO THE BOARD OF CORR,35.0,244820.0
ASSISTANT DEPUTY COMMISSIONER,35.0,244820.0
SECRETARY TO THE COMMISSIONER,40.0,83940.0
FIRST DEPUTY CITY ADMINISTRATO,35.0,244820.0
ASSISTANT COMMISSIONER (DEPT O,35.0,244820.0
ASSISTANT COMMISSIONER (PROGRA,35.0,244820.0
ASSISTANT COMMISSIONER (BUDGET,35.0,244820.0
DEPUTY CITY CLERK,35.0,244820.0
ASSISTANT DEPUTY COMMISSIONER,35.0,244820.0
ASSISTANT COMMISSIONER (EQUAL,35.0,244820.0
SECRETARY TO THE FIRST DEPUTY,35.0,88649.0
DEPUTY COMMISSIONER,35.0,244820.0
SPECIAL DEPUTY COMMISSIONER (D,35.0,244820.0
DEPUTY COMMISSIONER (YOUTH SER,35.0,244820.0
DEPUTY MAYOR,35.0,244820.0
DIRECTOR OF FRANCHISES,35.0,244820.0
FIRST DEPUTY MAYOR,35.0,244820.0
FIRST DEPUTY COMMISSIONER,35.0,244820.0
FIRST DEPUTY COMMISSIONER GENE,35.0,244820.0
SECRETARY TO COUNSEL (HA),35.0,72292.0
EXECUTIVE SECRETARY (EEPC),35.0,80000.0
SECRETARY TO DEPUTY EXECUTIVE,35.0,72292.0
DEPUTY BOROUGH PRESIDENT,35.0,244820.0
SECRETARY TO THE FIRST DEPUTY,35.0,77886.0
SECRETARY TO MEMBER (HA),35.0,71564.0
SECRETARY TO EXECUTIVE DIRECTO,35.0,78923.0
"CHAIRMAN, FINANCE COMMITTEE",35.0,77500.0
CHAIRMAN COMMISSION ON HUMAN R,35.0,244820.0
FIRST DEPUTY CITY CLERK,35.0,244820.0
CITY CLERK & CLERK OF COUNCIL,35.0,244820.0
VICE CHAIRMAN MAJORITY LEADER,35.0,77500.0
MEMBER OF THE HOUSING AUTHORIT,35.0,137387.0
COMMISSIONER,35.0,244820.0
CHAIRMAN,35.0,244820.0
PRESIDENT,35.0,244820.0
BOROUGH PRESIDENT,35.0,179200.0
BOROUGH PRESIDENT,35.0,179200.0
MAYOR,35.0,258750.0
COMMISSIONER DESIGNATED AS VIC,35.0,244820.0
COMMISSIONER (NOT FULL-TIME),35.0,156000.0
COMMISSIONER OF EMERGENCY MANA,35.0,244820.0
FIRST DEPUTY COMMISSIONER (FD),35.0,244820.0
FIRST DEPUTY COMMISSIONER (BUI,35.0,244820.0
DIRECTOR OF PERSONNEL (HA),35.0,234738.0
ASSISTANT TRANSIT MANAGEMENT A,35.0,34245.0
RESEARCH AND LIAISON COORDINAT,35.0,244820.0
ASSISTANT TO THE COMMISSIONER,35.0,244820.0
ADMINISTRATIVE ASSISTANT TO TH,35.0,244820.0
ASSISTANT TO CITY ADMINISTRATO,35.0,244820.0
EXECUTIVE ASSISTANT TO THE COM,35.0,244820.0
ASSISTANT TO THE CHAIRMAN,35.0,137387.0
ASSISTANT TO THE COMMISSIONER,35.0,244820.0
ASSISTANT TO THE COMPTROLLER,35.0,244820.0
ASSISTANT TO THE MAYOR,35.0,244820.0
ASSISTANT TO THE PRESIDENT,35.0,244820.0
ASSISTANT TO DEPUTY COMPTROLLE,35.0,244820.0
ASSISTANT TO POLICE COMMISSION,35.0,244820.0
EXECUTIVE ASSISTANT TO THE CHI,35.0,244820.0
ASSISTANT TO THE PRESIDENT (PM,35.0,244820.0
CONFIDENTIAL ASSISTANT TO BOAR,35.0,113924.0
EXECUTIVE ASSISTANT TO THE PRE,35.0,244820.0
CONFIDENTIAL EXAMINER,35.0,151181.0
SPECIAL ASSISTANT (TAX COMMISS,35.0,244820.0
CONFIDENTIAL ASSISTANT TO THE,35.0,244820.0
EXECUTIVE ASSISTANT,35.0,244820.0
EXECUTIVE ASSISTANT TO THE COM,35.0,244820.0
EXECUTIVE ASSISTANT TO THE COM,35.0,244820.0
SPECIAL ASSISTANT (RESEARCH AN,35.0,113500.0
SPECIAL ASSISTANT IN THE OFFIC,35.0,113500.0
ASST TO THE CHAIRMAN (COMM HUM,35.0,93241.0
EXECUTIVE ASSISTANT TO COMMUNI,35.0,118891.0
CALENDAR ASSISTANT,35.0,97995.0
EXECUTIVE ASSISTANT FOR PLANNI,35.0,244820.0
ASSISTANT TO THE DEPUTY MAYOR,35.0,244820.0
EXECUTIVE ASSISTANT TO THE MAY,35.0,244820.0
SPECIAL ASSISTANT TO THE MAYOR,35.0,244820.0
SPECIAL ASSISTANT TO COMMISSIO,35.0,172544.0
EXECUTIVE ASSISTANT TO THE DIR,35.0,244820.0
EXECUTIVE ASSISTANT TO THE DIR,35.0,244820.0
Exec Asst to the Chairman,35.0,103763.0
EXECUTIVE ASST TO THE NYC COMM,35.0,244820.0
Executive Assistant to the Ope,35.0,70147.0
DIRECTOR OF MANAGEMENT PLANNIN,35.0,244820.0
EXECUTIVE ASSISTANT FOR INTERG,35.0,244820.0
EXECUTIVE ASSISTANT FOR PROGRA,35.0,244820.0
EXEC ASST TO THE DIR (MAYOR'S,35.0,244820.0
SPECIAL ASSISTANT (BOE),35.0,113500.0
SPECIAL ASSISTANT TO MEMBER OF,35.0,113500.0
ASSISTANT TO THE COMMISSIONER,35.0,93643.0
EXECUTIVE ASSISTANT TO THE DIR,35.0,244820.0
EXECUTIVE ASSISTANT (TAXI & LI,35.0,244820.0
EXECUTIVE ASSISTANT TO THE CHA,35.0,244820.0
SPECIAL ASSISTANT TO THE CHANC,35.0,244820.0
LABOR RELATIONS TRIAL EXAMINER,35.0,244820.0
DEPUTY DIRECTOR (OFFICE OF COL,35.0,244820.0
EXECUTIVE ASSISTANT (BUILDINGS,35.0,95951.0
HEARING EXAMINER (HA),35.0,74470.0
DIRECTOR OF LABOR MANAGEMENT R,35.0,244820.0
"COMMISSIONER, UN & CONSULAR CO",35.0,244820.0
DIRECTOR OF COMMUNITY ASSISTAN,35.0,244820.0
MEDIATOR (OLR),35.0,244820.0
CHIEF MEDIATOR (OLR),35.0,244820.0
ASSISTANT COMMISSIONER OF LABO,35.0,244820.0
DEPUTY COMMISSIONER OF LABOR R,35.0,244820.0
COMMISSIONER OF LABOR RELATION,35.0,244820.0
LABOR RELATIONS ANALYST,35.0,73147.0
LABOR RELATIONS ANALYST,35.0,79901.0
ASSOCIATE LABOR RELATIONS ANAL,35.0,105006.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
STRATEGIC INITIATIVE SPECIALIS,35.0,182222.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,244820.0
DIRECTOR MANAGEMENT INFORMATIO,35.0,244820.0
COOPERATIVE EDUCATION TRAINEE-,35.0,15.85
DIRECTOR OF TECHNOLOGY DEVELOP,35.0,244820.0
CHIEF INFORMATION TECHNOLOGY O,35.0,244820.0
COMPUTER ASSOC (TECH SUPP),35.0,65920.0
COMPUTER ASSOC (TECH SUPP),35.0,69595.0
COMPUTER ASSOC (TECH SUPP),35.0,79787.0
COMPUTER ASSOC (TECH SUPP),35.0,84235.0
COMPUTER ASSOC (TECH SUPP),35.0,99544.0
COMPUTER ASSOC (TECH SUPP),35.0,105094.0
SCHOOL COMPUTER TECHNOLOGY SPE,35.0,51516.0
SCHOOL COMPUTER TECHNOLOGY SPE,35.0,63969.0
SCHOOL COMPUTER TECHNOLOGY SPE,35.0,88921.0
COMPUTER SERVICE TECHNICIAN (C,35.0,51516.0
COMPUTER SERVICE TECHNICIAN (C,35.0,63969.0
SUPERVISING COMPUTER SERVICE T,35.0,88921.0
COMPUTER AIDE,35.0,51516.0
COMPUTER AIDE,35.0,63969.0
COMPUTER ASSOC (OPERATIONS),35.0,72478.0
COMPUTER ASSOC (OPERATIONS),35.0,88921.0
COMPUTER ASSOC (OPERATIONS),35.0,108846.0
COMPUTER SPECIALIST (OPERATION,35.0,116126.0
COMPUTER ASSOC (SOFTWARE),35.0,89634.0
COMPUTER ASSOC (SOFTWARE),35.0,96898.0
COMPUTER ASSOC (SOFTWARE),35.0,108846.0
COMPUTER SPECIALIST (SOFTWARE),35.0,99161.0
COMPUTER SPECIALIST (SOFTWARE),35.0,106786.0
COMPUTER SPECIALIST (SOFTWARE),35.0,116126.0
COMPUTER SPECIALIST (SOFTWARE),35.0,132962.0
CYBER SECURITY ANALYST,35.0,75000.0
CYBER SECURITY ANALYST,35.0,110000.0
CERT IT DEVELOPER (APP),35.0,108087.0
CERT IT DEVELOPER (APP),35.0,116391.0
CERT IT DEVELOPER (APP),35.0,126575.0
CERT IT DEVELOPER (APP),35.0,144929.0
CERT IT ADMINISTRATOR (DB),35.0,108087.0
CERT IT ADMINISTRATOR (DB),35.0,116391.0
CERT IT ADMINISTRATOR (DB),35.0,126575.0
CERT IT ADMINISTRATOR (DB),35.0,144929.0
COMPUTER PROG ANALYST TRAINEE,35.0,45802.0
COMPUTER PROGRAMMER ANALYST,35.0,68675.0
COMPUTER PROGRAMMER ANALYST,35.0,81301.0
CERTIFIED IT ADMINISTRATOR (LA,35.0,108087.0
CERTIFIED IT ADMINISTRATOR (LA,35.0,116391.0
CERTIFIED IT ADMINISTRATOR (LA,35.0,126575.0
CERTIFIED IT ADMINISTRATOR (LA,35.0,144929.0
*CERTIFIED LOCAL AREA NETWORKA,35.0,108087.0
*CERTIFIED LOCAL AREA NETWORKA,35.0,116391.0
*CERTIFIED LOCAL AREA NETWORKA,35.0,126575.0
*CERTIFIED LOCAL AREA NETWORKA,35.0,144929.0
*CERTIFIED WIDE AREA NETWORKAD,35.0,108087.0
*CERTIFIED WIDE AREA NETWORKAD,35.0,116391.0
*CERTIFIED WIDE AREA NETWORKAD,35.0,126575.0
*CERTIFIED WIDE AREA NETWORKAD,35.0,144929.0
*CERTIFIED APPLICATIONSDEVELOP,35.0,108087.0
*CERTIFIED APPLICATIONSDEVELOP,35.0,116391.0
*CERTIFIED APPLICATIONSDEVELOP,35.0,126575.0
*CERTIFIED APPLICATIONSDEVELOP,35.0,144929.0
*CERTIFIED DATABASE ADMINISTRA,35.0,108087.0
*CERTIFIED DATABASE ADMINISTRA,35.0,116391.0
*CERTIFIED DATABASE ADMINISTRA,35.0,126575.0
*CERTIFIED DATABASE ADMINISTRA,35.0,144929.0
ENGINEERING WORK STUDY TRAINEE,35.0,42716.0
Cooperative EducationTrainee E,35.0,15.85
ENGINEERING TECHNICIAN,35.0,49035.0
ENGINEERING TECHNICIAN,35.0,57984.0
ENGINEERING TECHNICIAN,35.0,70092.0
ENGINEERING TECHNICIAN,35.0,75866.0
ESTIMATOR (ELECTRICAL),35.0,83151.0
ESTIMATOR (GENERAL CONSTRUCTIO,35.0,83151.0
ESTIMATOR (MECHANICAL),35.0,83151.0
SENIOR ESTIMATOR (ELECTRICAL),35.0,95270.0
SENIOR ESTIMATOR (GENERAL CONS,35.0,95270.0
SENIOR ESTIMATOR (MECHANICAL),35.0,95270.0
AUTOMOTIVE SPECIALIST,35.0,95270.0
SENIOR AUTOMOTIVE SPECIALIST,35.0,106222.0
CIVIL ENGINEERING INTERN,35.0,60447.0
ASSISTANT CIVIL ENGINEER,35.0,83151.0
LEGISLATIVE ENGINEER,35.0,244820.0
CIVIL ENGINEER,35.0,95270.0
CIVIL ENGINEER,35.0,108657.0
CIVIL ENGINEER,35.0,118610.0
ASSISTANT DIRECTOR OF TECHNICA,35.0,244820.0
PUBLIC HEALTH ENGINEERING CONS,35.0,244820.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,73239.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,80568.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,87887.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,110116.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,73239.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,80568.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,87887.0
TELECOMMUNICATIONS ASSOCIATE (,35.0,110116.0
OPERATIONS COMMUNICATION SPECI,35.0,52445.0
OPERATIONS COMMUNICATION SPECI,35.0,60128.0
ASSOCIATE OPERATIONS COMMUNICA,35.0,59525.0
ASSOCIATE OPERATIONS COMMUNICA,35.0,65801.0
ELECTRICAL ENGINEERING INTERN,35.0,60447.0
ASSISTANT ELECTRICAL ENGINEER,35.0,83151.0
ELECTRICAL ENGINEER,35.0,95270.0
ELECTRICAL ENGINEER,35.0,108657.0
ELECTRICAL ENGINEER,35.0,118610.0
MECHANICAL ENGINEERING INTERN,35.0,60447.0
ASSISTANT MECHANICAL ENGINEER,35.0,83151.0
MECHANICAL ENGINEER,35.0,95270.0
MECHANICAL ENGINEER,35.0,108657.0
MECHANICAL ENGINEER,35.0,118610.0
CHEMICAL ENGINEERING INTERN,35.0,60447.0
ASSISTANT CHEMICAL ENGINEER (C,35.0,83151.0
CHEMICAL ENGINEER,35.0,95270.0
CHEMICAL ENGINEER,35.0,108657.0
CHEMICAL ENGINEER,35.0,118610.0
ENVIRONMENTAL ENGINEERING INTE,35.0,60447.0
ASSISTANT ENVIRONMENTAL ENGINE,35.0,83151.0
ENVIRONMENTAL ENGINEER,35.0,95270.0
ENVIRONMENTAL ENGINEER,35.0,108657.0
ENVIRONMENTAL ENGINEER,35.0,118610.0
CONSULTING ENGINEER,35.0,244820.0
TAX MAP CARTOGRAPHER,35.0,95270.0
TAX MAP CARTOGRAPHER,35.0,63728.0
TAX MAP CARTOGRAPHER,35.0,81526.0
ASSISTANT SURVEYOR,35.0,73553.0
SURVEYOR,35.0,95270.0
SURVEYOR,35.0,106222.0
SURVEYOR,35.0,63728.0
SURVEYOR,35.0,81526.0
DEPT ENGINR (WATER SUPPLY)-DEP,35.0,244820.0
DEPUTY DIRECTOR OF DESIGN,35.0,196574.0
DEPUTY DIRECTOR OF CONSTRUCTIO,35.0,137387.0
DIRECTOR OF DEVELOPMENT (HA),35.0,234738.0
DIRECTOR OF DESIGN,35.0,137387.0
DIRECTOR OF CONSTRUCTION,35.0,137387.0
CHIEF ENGINEER (DEP),35.0,244820.0
DEPUTY CHIEF ENGINEER (DEP),35.0,244820.0
ARCHITECTURAL INTERN,35.0,60447.0
ASSISTANT ARCHITECT,35.0,83151.0
ARCHITECT,35.0,95270.0
ARCHITECT,35.0,108657.0
ARCHITECT,35.0,118610.0
LANDSCAPE ARCHITECT INTERN,35.0,60447.0
ASSISTANT LANDSCAPE ARCHITECT,35.0,83151.0
LANDSCAPE ARCHITECT,35.0,95270.0
LANDSCAPE ARCHITECT,35.0,108657.0
LANDSCAPE ARCHITECT,35.0,118610.0
LABORATORY ASSOCIATE,35.0,48033.0
LABORATORY ASSOCIATE,35.0,50389.0
LABORATORY MICROBIOLOGIST,35.0,58727.0
LABORATORY MICROBIOLOGIST,35.0,72497.0
ASSOCIATE LABORATORY MICROBIOL,35.0,82646.0
ASSOCIATE LABORATORY MICROBIOL,35.0,94683.0
ASSOCIATE LABORATORY MICROBIOL,35.0,110115.0
SCIENTIST (RADIATION CONTROL),35.0,83151.0
SCIENTIST (RADIATION CONTROL),35.0,95270.0
SCIENTIST (RADIATION CONTROL),35.0,106222.0
SCIENTIST (WATER ECOLOGY) TRAI,35.0,43782.0
SCIENTIST (WATER ECOLOGY),35.0,66754.0
SCIENTIST (WATER ECOLOGY),35.0,75259.0
SCIENTIST (WATER ECOLOGY),35.0,91247.0
BIO-MEDICAL EQUIPMENT TECHNICI,35.0,54930.0
RESEARCH ASSISTANT BEHAV SCI,35.0,61936.0
CITY RESEARCH SCIENTIST,35.0,75349.0
CITY RESEARCH SCIENTIST,35.0,92001.0
CITY RESEARCH SCIENTIST,35.0,107770.0
CITY RESEARCH SCIENTIST,35.0,118728.0
CITY RESEARCH SCIENTIST,35.0,136563.0
RESEARCH SCIENTIST,35.0,92001.0
RESEARCH SCIENTIST,35.0,107770.0
RESEARCH SCIENTIST,35.0,118728.0
ASSOCIATE CHEMIST,35.0,50458.0
ASSOCIATE CHEMIST,35.0,75243.0
ASSOCIATE CHEMIST,35.0,86455.0
ASSOCIATE CHEMIST,35.0,97785.0
ASSOCIATE CHEMIST,35.0,115201.0
CRIMINALIST,35.0,63456.0
CRIMINALIST,35.0,88080.0
CRIMINALIST,35.0,105123.0
CRIMINALIST,35.0,120277.0
CRIMINALIST DIRECTOR OF LABORA,35.0,244820.0
CRIMINALIST DEPUTY DIRECTOR OF,35.0,244820.0
CRIMINALIST ASSISTANT DIRECTOR,35.0,244820.0
GEOLOGIST,35.0,55075.0
GEOLOGIST,35.0,83151.0
GEOLOGIST,35.0,95270.0
PHYSICIST,35.0,83151.0
PHYSICIST,35.0,95270.0
PHYSICIST,35.0,106222.0
CHIEF CONSULTANT (RADIATION CO,35.0,244820.0
